iter	Logloss
0	0.6493343658
1	0.6206249358
2	0.5925648751
3	0.5720179412
4	0.5547230004
5	0.540284988
6	0.5259361075
7	0.5161591494
8	0.500778692
9	0.4937108632
10	0.481978581
11	0.4710898733
12	0.4594135667
13	0.4534976429
14	0.4486135719
15	0.4404235453
16	0.4340207742
17	0.4275959654
18	0.4207900826
19	0.4176788766
20	0.4109564971
21	0.4054661018
22	0.4017935861
23	0.3966683466
24	0.393517118
25	0.3899522648
26	0.3847896359
27	0.3822169674
28	0.3791850285
29	0.3734919178
30	0.3722374157
31	0.3710660742
32	0.3684612453
33	0.3675745008
34	0.3640184501
35	0.3617687805
36	0.3588984688
37	0.3554088019
38	0.3529214493
39	0.3492481821
40	0.3443568285
41	0.341619621
42	0.3396000089
43	0.3385995232
44	0.3351791842
45	0.3299399899
46	0.3269465033
47	0.3265745379
48	0.3242523083
49	0.3221210115
50	0.3193060641
51	0.3176824457
52	0.3156315947
53	0.3138097705
54	0.3119555824
55	0.309404311
56	0.3070460992
57	0.3061559281
58	0.3015242972
59	0.3004739473
60	0.2981988071
61	0.2957029615
62	0.2917936832
63	0.2901865427
64	0.2891256659
65	0.2863546991
66	0.2840573068
67	0.2825683402
68	0.2807195013
69	0.278805365
70	0.2773225252
71	0.2732897841
72	0.2699726264
73	0.2679158611
74	0.2650907038
75	0.2643413815
76	0.2609682766
77	0.2591555056
78	0.2552621384
79	0.2545857583
80	0.2523931412
81	0.2517925998
82	0.2501261578
83	0.2489294902
84	0.2467064988
85	0.2424583222
86	0.240271483
87	0.2378348516
88	0.2354710716
89	0.2343710563
90	0.2325605892
91	0.2320889363
92	0.2290764972
93	0.2257135259
94	0.2253347914
95	0.2225297911
96	0.2200565235
97	0.2173991505
98	0.2154540779
99	0.213239342
100	0.2129372712
101	0.2106375468
102	0.2091937172
103	0.2051563883
104	0.203940854
105	0.2026755091
106	0.2003034469
107	0.1986998265
108	0.1984070484
109	0.195369467
110	0.1919132945
111	0.191757788
112	0.189790612
113	0.1868354851
114	0.1854822488
115	0.1838234678
116	0.1824293362
117	0.1809306894
118	0.1787132825
119	0.1772046257
120	0.175271426
121	0.1751257121
122	0.1734330926
123	0.1717095578
124	0.1706477764
125	0.1697908183
126	0.1684652961
127	0.1663465845
128	0.1656366086
129	0.1645473832
130	0.1629525655
131	0.1611907287
132	0.1587138777
133	0.1561436354
134	0.1545078352
135	0.1543268414
136	0.1530066348
137	0.150982767
138	0.1499455211
139	0.1490144962
140	0.1479609887
141	0.1455074543
142	0.1444077901
143	0.1442760057
144	0.1428563091
145	0.1427645304
146	0.1414169872
147	0.1413174057
148	0.1405265498
149	0.1389334807
150	0.1376575865
151	0.1368049834
152	0.1349071776
153	0.1332479282
154	0.131705206
155	0.1304772763
156	0.1297604763
157	0.1277667473
158	0.1266959574
159	0.1266231349
160	0.1255245338
161	0.1247721895
162	0.123978763
163	0.1227008841
164	0.1217131266
165	0.1207933335
166	0.1202674949
167	0.1192925595
168	0.1183051307
169	0.1169464001
170	0.1158352337
171	0.1148336016
172	0.1133581414
173	0.1118049275
174	0.1100704008
175	0.1092945286
176	0.1085108601
177	0.1078735968
178	0.1072149851
179	0.1058627157
180	0.1048952659
181	0.1042628795
182	0.103182706
183	0.103150321
184	0.101930882
185	0.1008133613
186	0.1002756219
187	0.09968509447
188	0.09909191368
189	0.09847745711
190	0.09843788114
191	0.09778617393
192	0.09685776669
193	0.09608013042
194	0.09546667604
195	0.09459403413
196	0.09374794186
197	0.09316586519
198	0.0923496837
199	0.09181240028
