iter	Passed	Remaining
0	158	31541
1	173	17215
2	188	12351
3	199	9768
4	206	8046
5	212	6858
6	217	5983
7	221	5318
8	225	4786
9	229	4364
10	233	4014
11	237	3715
12	240	3464
13	244	3249
14	248	3062
15	251	2897
16	255	2750
17	258	2617
18	262	2500
19	266	2394
20	269	2299
21	273	2212
22	277	2134
23	281	2061
24	284	1994
25	288	1929
26	291	1870
27	295	1815
28	299	1765
29	303	1717
30	307	1673
31	310	1631
32	314	1591
33	318	1554
34	321	1517
35	325	1483
36	329	1451
37	333	1420
38	337	1391
39	340	1363
40	344	1337
41	348	1312
42	352	1288
43	356	1265
44	361	1243
45	365	1222
46	369	1201
47	371	1177
48	375	1157
49	379	1139
50	383	1121
51	387	1103
52	391	1086
53	396	1070
54	400	1056
55	404	1040
56	409	1026
57	413	1013
58	418	999
59	422	985
60	426	972
61	430	958
62	434	945
63	439	933
64	443	920
65	447	907
66	451	895
67	455	883
68	459	872
69	463	861
70	468	850
71	472	839
72	476	829
73	480	818
74	485	808
75	489	798
76	493	788
77	497	778
78	501	768
79	505	758
80	509	748
81	514	739
82	518	730
83	522	721
84	526	712
85	531	703
86	535	695
87	539	687
88	544	678
89	548	670
90	552	661
91	556	653
92	560	645
93	564	636
94	569	629
95	573	620
96	577	613
97	581	605
98	585	597
99	589	589
100	593	581
101	597	574
102	601	566
103	606	559
104	610	552
105	614	544
106	618	537
107	622	530
108	626	523
109	631	516
110	635	509
111	639	502
112	643	495
113	647	488
114	652	482
115	656	475
116	660	468
117	665	462
118	669	456
119	674	449
120	678	443
121	682	436
122	686	429
123	690	423
124	694	416
125	699	410
126	703	404
127	707	398
128	711	391
129	716	385
130	720	379
131	724	373
132	728	367
133	733	361
134	737	355
135	741	348
136	745	342
137	749	336
138	753	330
139	758	324
140	762	319
141	766	313
142	770	307
143	775	301
144	780	295
145	784	290
146	788	284
147	793	278
148	797	272
149	801	267
150	805	261
151	809	255
152	814	250
153	818	244
154	822	238
155	827	233
156	831	227
157	835	222
158	839	216
159	844	211
160	848	205
161	852	200
162	857	194
163	861	189
164	865	183
165	870	178
166	874	172
167	878	167
168	882	161
169	887	156
170	891	151
171	895	145
172	899	140
173	903	135
174	908	129
175	912	124
176	916	119
177	921	113
178	925	108
179	929	103
180	933	98
181	938	92
182	942	87
183	946	82
184	950	77
185	954	71
186	958	66
187	962	61
188	966	56
189	970	51
190	974	45
191	978	40
192	982	35
193	987	30
194	991	25
195	995	20
196	999	15
197	1003	10
198	1008	5
199	1012	0
